table_schema,table_name,index_name,indexdef
public,VoyMessages,idx_voymessages_sender,"CREATE INDEX idx_voymessages_sender ON public.""VoyMessages"" USING btree (sender_user_id)"
public,VoyMicroTasks,VoyMicroTasks_pkey,"CREATE UNIQUE INDEX ""VoyMicroTasks_pkey"" ON public.""VoyMicroTasks"" USING btree (id)"
public,VoyNotifications,VoyNotifications_application_idx,"CREATE INDEX ""VoyNotifications_application_idx"" ON public.""VoyNotifications"" USING btree (related_application_id)"
public,VoyNotifications,VoyNotifications_job_idx,"CREATE INDEX ""VoyNotifications_job_idx"" ON public.""VoyNotifications"" USING btree (related_job_id)"
public,VoyNotifications,VoyNotifications_pkey,"CREATE UNIQUE INDEX ""VoyNotifications_pkey"" ON public.""VoyNotifications"" USING btree (id)"
public,VoyNotifications,VoyNotifications_user_idx,"CREATE INDEX ""VoyNotifications_user_idx"" ON public.""VoyNotifications"" USING btree (user_id)"
public,VoyNotifications,idx_notifications_created_at,"CREATE INDEX idx_notifications_created_at ON public.""VoyNotifications"" USING btree (created_at DESC)"
public,VoyNotifications,idx_notifications_is_read,"CREATE INDEX idx_notifications_is_read ON public.""VoyNotifications"" USING btree (is_read)"
public,VoyNotifications,idx_notifications_type,"CREATE INDEX idx_notifications_type ON public.""VoyNotifications"" USING btree (type)"
public,VoyNotifications,idx_notifications_user_id,"CREATE INDEX idx_notifications_user_id ON public.""VoyNotifications"" USING btree (user_id)"
public,VoyNotifications,idx_notifications_user_is_read,"CREATE INDEX idx_notifications_user_is_read ON public.""VoyNotifications"" USING btree (user_id, is_read, created_at DESC)"
public,VoyPayments,VoyPayments_pkey,"CREATE UNIQUE INDEX ""VoyPayments_pkey"" ON public.""VoyPayments"" USING btree (id)"
public,VoyPayments,idx_voypayments_application_id,"CREATE INDEX idx_voypayments_application_id ON public.""VoyPayments"" USING btree (application_id)"
public,VoyPayments,idx_voypayments_created_at,"CREATE INDEX idx_voypayments_created_at ON public.""VoyPayments"" USING btree (created_at DESC)"
public,VoyPayments,idx_voypayments_job_id,"CREATE INDEX idx_voypayments_job_id ON public.""VoyPayments"" USING btree (job_id)"
public,VoyPayments,idx_voypayments_status,"CREATE INDEX idx_voypayments_status ON public.""VoyPayments"" USING btree (status)"
public,VoyPayments,idx_voypayments_stripe_payment_intent,"CREATE INDEX idx_voypayments_stripe_payment_intent ON public.""VoyPayments"" USING btree (stripe_payment_intent_id)"
public,VoyPayments,idx_voypayments_user_id,"CREATE INDEX idx_voypayments_user_id ON public.""VoyPayments"" USING btree (user_id)"
public,VoyReferralCodes,VoyReferralCodes_code_key,"CREATE UNIQUE INDEX ""VoyReferralCodes_code_key"" ON public.""VoyReferralCodes"" USING btree (code)"
public,VoyReferralCodes,VoyReferralCodes_pkey,"CREATE UNIQUE INDEX ""VoyReferralCodes_pkey"" ON public.""VoyReferralCodes"" USING btree (id)"
public,VoyReferralCodes,idx_voyrefcodes_owner,"CREATE INDEX idx_voyrefcodes_owner ON public.""VoyReferralCodes"" USING btree (owner_user_id)"
public,VoyReferralEvents,VoyReferralEvents_event_type_referred_user_id_key,"CREATE UNIQUE INDEX ""VoyReferralEvents_event_type_referred_user_id_key"" ON public.""VoyReferralEvents"" USING btree (event_type, referred_user_id)"
public,VoyReferralEvents,VoyReferralEvents_pkey,"CREATE UNIQUE INDEX ""VoyReferralEvents_pkey"" ON public.""VoyReferralEvents"" USING btree (id)"
public,VoyReferralEvents,idx_voyrefevents_referred,"CREATE INDEX idx_voyrefevents_referred ON public.""VoyReferralEvents"" USING btree (referred_user_id)"
public,VoyReferralEvents,idx_voyrefevents_referrer,"CREATE INDEX idx_voyrefevents_referrer ON public.""VoyReferralEvents"" USING btree (referrer_user_id)"
public,VoyReviews,VoyReviews_pkey,"CREATE UNIQUE INDEX ""VoyReviews_pkey"" ON public.""VoyReviews"" USING btree (id)"
public,VoyReviews,VoyReviews_reviewed_idx,"CREATE INDEX ""VoyReviews_reviewed_idx"" ON public.""VoyReviews"" USING btree (reviewed_user_id)"
public,VoyRewardCampaigns,VoyRewardCampaigns_pkey,"CREATE UNIQUE INDEX ""VoyRewardCampaigns_pkey"" ON public.""VoyRewardCampaigns"" USING btree (id)"
public,VoyRewards,VoyRewards_pkey,"CREATE UNIQUE INDEX ""VoyRewards_pkey"" ON public.""VoyRewards"" USING btree (id)"
public,VoyRewards,idx_voyrewards_expires,"CREATE INDEX idx_voyrewards_expires ON public.""VoyRewards"" USING btree (expires_at)"
public,VoyRewards,idx_voyrewards_unlock,"CREATE INDEX idx_voyrewards_unlock ON public.""VoyRewards"" USING btree (status, unlock_at)"
public,VoyRewards,idx_voyrewards_user,"CREATE INDEX idx_voyrewards_user ON public.""VoyRewards"" USING btree (user_id)"
public,VoyRewards,idx_voyrewards_user_type,"CREATE INDEX idx_voyrewards_user_type ON public.""VoyRewards"" USING btree (user_id, reward_type, status)"
public,VoySectors,VoySectors_pkey,"CREATE UNIQUE INDEX ""VoySectors_pkey"" ON public.""VoySectors"" USING btree (id)"
public,VoyUsers,VoyUsers_auth_user_id_key,"CREATE UNIQUE INDEX ""VoyUsers_auth_user_id_key"" ON public.""VoyUsers"" USING btree (auth_user_id)"
public,VoyUsers,VoyUsers_pkey,"CREATE UNIQUE INDEX ""VoyUsers_pkey"" ON public.""VoyUsers"" USING btree (id)"
public,VoyWalletLedger,VoyWalletLedger_pkey,"CREATE UNIQUE INDEX ""VoyWalletLedger_pkey"" ON public.""VoyWalletLedger"" USING btree (id)"
public,VoyWalletLedger,idx_voyledger_user,"CREATE INDEX idx_voyledger_user ON public.""VoyWalletLedger"" USING btree (user_id)"
public,VoyWalletLedger,idx_voyledger_wallet,"CREATE INDEX idx_voyledger_wallet ON public.""VoyWalletLedger"" USING btree (wallet_id)"
public,VoyWallets,VoyWallets_pkey,"CREATE UNIQUE INDEX ""VoyWallets_pkey"" ON public.""VoyWallets"" USING btree (id)"
public,VoyWallets,VoyWallets_user_id_key,"CREATE UNIQUE INDEX ""VoyWallets_user_id_key"" ON public.""VoyWallets"" USING btree (user_id)"
public,VoyWallets,idx_voywallets_user_id,"CREATE INDEX idx_voywallets_user_id ON public.""VoyWallets"" USING btree (user_id)"
public,VoyWorkContracts,VoyWorkContracts_job_idx,"CREATE INDEX ""VoyWorkContracts_job_idx"" ON public.""VoyWorkContracts"" USING btree (job_id)"
public,VoyWorkContracts,VoyWorkContracts_pkey,"CREATE UNIQUE INDEX ""VoyWorkContracts_pkey"" ON public.""VoyWorkContracts"" USING btree (id)"
public,VoyWorkSchedules,VoyWorkSchedules_job_idx,"CREATE INDEX ""VoyWorkSchedules_job_idx"" ON public.""VoyWorkSchedules"" USING btree (job_id)"
public,VoyWorkSchedules,VoyWorkSchedules_pkey,"CREATE UNIQUE INDEX ""VoyWorkSchedules_pkey"" ON public.""VoyWorkSchedules"" USING btree (id)"
voy_marketplace,buyer_profiles,buyer_profiles_pkey,CREATE UNIQUE INDEX buyer_profiles_pkey ON voy_marketplace.buyer_profiles USING btree (user_id)
voy_marketplace,buyer_profiles,idx_buyer_profiles_type,CREATE INDEX idx_buyer_profiles_type ON voy_marketplace.buyer_profiles USING btree (buyer_type)
voy_marketplace,buyer_profiles,idx_buyer_profiles_verified,CREATE INDEX idx_buyer_profiles_verified ON voy_marketplace.buyer_profiles USING btree (is_verified)
voy_marketplace,categories,categories_pkey,CREATE UNIQUE INDEX categories_pkey ON voy_marketplace.categories USING btree (id)
voy_marketplace,categories,idx_categories_active,CREATE INDEX idx_categories_active ON voy_marketplace.categories USING btree (is_active)
voy_marketplace,categories,idx_categories_parent,CREATE INDEX idx_categories_parent ON voy_marketplace.categories USING btree (parent_id)
voy_marketplace,categories,idx_categories_slug,CREATE INDEX idx_categories_slug ON voy_marketplace.categories USING btree (slug)
voy_marketplace,categories,uq_categories_parent_slug,"CREATE UNIQUE INDEX uq_categories_parent_slug ON voy_marketplace.categories USING btree (parent_id, slug)"
voy_marketplace,credit_notes,credit_notes_pkey,CREATE UNIQUE INDEX credit_notes_pkey ON voy_marketplace.credit_notes USING btree (id)
voy_marketplace,credit_notes,credit_notes_return_id_key,CREATE UNIQUE INDEX credit_notes_return_id_key ON voy_marketplace.credit_notes USING btree (return_id)
voy_marketplace,inventory,inventory_pkey,CREATE UNIQUE INDEX inventory_pkey ON voy_marketplace.inventory USING btree (product_id)
voy_marketplace,invoices,invoices_order_id_key,CREATE UNIQUE INDEX invoices_order_id_key ON voy_marketplace.invoices USING btree (order_id)
voy_marketplace,invoices,invoices_pkey,CREATE UNIQUE INDEX invoices_pkey ON voy_marketplace.invoices USING btree (id)
voy_marketplace,order_items,idx_order_items_order,CREATE INDEX idx_order_items_order ON voy_marketplace.order_items USING btree (order_id)
voy_marketplace,order_items,order_items_pkey,CREATE UNIQUE INDEX order_items_pkey ON voy_marketplace.order_items USING btree (id)
voy_marketplace,orders,idx_orders_buyer,CREATE INDEX idx_orders_buyer ON voy_marketplace.orders USING btree (buyer_user_id)
voy_marketplace,orders,idx_orders_seller,CREATE INDEX idx_orders_seller ON voy_marketplace.orders USING btree (seller_id)
voy_marketplace,orders,idx_orders_status,CREATE INDEX idx_orders_status ON voy_marketplace.orders USING btree (status)
voy_marketplace,orders,orders_pkey,CREATE UNIQUE INDEX orders_pkey ON voy_marketplace.orders USING btree (id)
voy_marketplace,product_images,idx_product_images_product,CREATE INDEX idx_product_images_product ON voy_marketplace.product_images USING btree (product_id)
voy_marketplace,product_images,product_images_pkey,CREATE UNIQUE INDEX product_images_pkey ON voy_marketplace.product_images USING btree (id)
voy_marketplace,product_prices,idx_product_prices_product,CREATE INDEX idx_product_prices_product ON voy_marketplace.product_prices USING btree (product_id)
