table_schema,table_name,constraint_name,constraint_type
public,VoyReferralEvents,VoyReferralEvents_referred_user_id_fkey,FOREIGN KEY
public,VoyReferralEvents,VoyReferralEvents_referrer_user_id_fkey,FOREIGN KEY
public,VoyReferralEvents,VoyReferralEvents_pkey,PRIMARY KEY
public,VoyReferralEvents,VoyReferralEvents_event_type_referred_user_id_key,UNIQUE
public,VoyReviews,2200_49040_1_not_null,CHECK
public,VoyReviews,2200_49040_2_not_null,CHECK
public,VoyReviews,2200_49040_4_not_null,CHECK
public,VoyReviews,2200_49040_5_not_null,CHECK
public,VoyReviews,2200_49040_6_not_null,CHECK
public,VoyReviews,2200_49040_7_not_null,CHECK
public,VoyReviews,2200_49040_9_not_null,CHECK
public,VoyReviews,VoyReviews_rating_check,CHECK
public,VoyReviews,VoyReviews_assignment_id_fkey,FOREIGN KEY
public,VoyReviews,VoyReviews_job_id_fkey,FOREIGN KEY
public,VoyReviews,VoyReviews_reviewed_user_id_fkey,FOREIGN KEY
public,VoyReviews,VoyReviews_reviewer_user_id_fkey,FOREIGN KEY
public,VoyReviews,VoyReviews_pkey,PRIMARY KEY
public,VoyRewardCampaigns,2200_56961_1_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_2_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_3_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_6_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_7_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_8_not_null,CHECK
public,VoyRewardCampaigns,2200_56961_9_not_null,CHECK
public,VoyRewardCampaigns,VoyRewardCampaigns_pkey,PRIMARY KEY
public,VoyRewards,2200_56911_11_not_null,CHECK
public,VoyRewards,2200_56911_12_not_null,CHECK
public,VoyRewards,2200_56911_13_not_null,CHECK
public,VoyRewards,2200_56911_1_not_null,CHECK
public,VoyRewards,2200_56911_2_not_null,CHECK
public,VoyRewards,2200_56911_3_not_null,CHECK
public,VoyRewards,2200_56911_4_not_null,CHECK
public,VoyRewards,2200_56911_5_not_null,CHECK
public,VoyRewards,2200_56911_6_not_null,CHECK
public,VoyRewards,VoyRewards_status_check,CHECK
public,VoyRewards,VoyRewards_user_id_fkey,FOREIGN KEY
public,VoyRewards,VoyRewards_pkey,PRIMARY KEY
public,VoySectors,2200_53482_1_not_null,CHECK
public,VoySectors,2200_53482_2_not_null,CHECK
public,VoySectors,2200_53482_3_not_null,CHECK
public,VoySectors,2200_53482_4_not_null,CHECK
public,VoySectors,2200_53482_5_not_null,CHECK
public,VoySectors,VoySectors_pkey,PRIMARY KEY
public,VoyUsers,2200_48911_12_not_null,CHECK
public,VoyUsers,2200_48911_13_not_null,CHECK
public,VoyUsers,2200_48911_1_not_null,CHECK
public,VoyUsers,2200_48911_2_not_null,CHECK
