table_schema,table_name,column_name,data_type,is_nullable,column_default
public,VoyPayments,created_at,timestamp with time zone,YES,now()
public,VoyPayments,updated_at,timestamp with time zone,YES,now()
public,VoyPayments,description,text,YES,null
public,VoyPayments,payment_type,character varying,YES,null
public,VoyReferralCodes,id,uuid,NO,gen_random_uuid()
public,VoyReferralCodes,code,text,NO,null
public,VoyReferralCodes,owner_user_id,uuid,NO,null
public,VoyReferralCodes,owner_role,text,NO,null
public,VoyReferralCodes,created_at,timestamp with time zone,NO,now()
public,VoyReferralEvents,id,uuid,NO,gen_random_uuid()
public,VoyReferralEvents,referrer_user_id,uuid,NO,null
public,VoyReferralEvents,referred_user_id,uuid,NO,null
public,VoyReferralEvents,event_type,text,NO,null
public,VoyReferralEvents,status,text,NO,'pending'::text
public,VoyReferralEvents,metadata,jsonb,NO,'{}'::jsonb
public,VoyReferralEvents,created_at,timestamp with time zone,NO,now()
public,VoyReferralEvents,updated_at,timestamp with time zone,NO,now()
public,VoyReviews,id,uuid,NO,gen_random_uuid()
public,VoyReviews,job_id,uuid,NO,null
public,VoyReviews,assignment_id,uuid,YES,null
public,VoyReviews,reviewer_user_id,uuid,NO,null
public,VoyReviews,reviewed_user_id,uuid,NO,null
public,VoyReviews,review_type,USER-DEFINED,NO,"'HELPER'::""VoyReviewType"""
public,VoyReviews,rating,integer,NO,null
public,VoyReviews,comment,text,YES,null
public,VoyReviews,created_at,timestamp with time zone,NO,now()
public,VoyRewardCampaigns,id,uuid,NO,gen_random_uuid()
public,VoyRewardCampaigns,name,text,NO,null
public,VoyRewardCampaigns,city,text,NO,'Madrid'::text
public,VoyRewardCampaigns,district,text,YES,null
public,VoyRewardCampaigns,neighborhood,text,YES,null
public,VoyRewardCampaigns,start_at,timestamp with time zone,NO,null
public,VoyRewardCampaigns,end_at,timestamp with time zone,NO,null
public,VoyRewardCampaigns,rules,jsonb,NO,'{}'::jsonb
public,VoyRewardCampaigns,created_at,timestamp with time zone,NO,now()
public,VoyRewards,id,uuid,NO,gen_random_uuid()
public,VoyRewards,user_id,uuid,NO,null
public,VoyRewards,reward_type,text,NO,null
public,VoyRewards,amount,numeric,NO,null
public,VoyRewards,currency,text,NO,'EUR'::text
public,VoyRewards,status,text,NO,null
public,VoyRewards,unlock_at,timestamp with time zone,YES,null
public,VoyRewards,expires_at,timestamp with time zone,YES,null
public,VoyRewards,source_table,text,YES,null
public,VoyRewards,source_id,uuid,YES,null
public,VoyRewards,metadata,jsonb,NO,'{}'::jsonb
public,VoyRewards,created_at,timestamp with time zone,NO,now()
public,VoyRewards,updated_at,timestamp with time zone,NO,now()
public,VoySectors,id,text,NO,null
public,VoySectors,name,text,NO,null
public,VoySectors,emoji,text,NO,null
