table_name,column_name,data_type,is_nullable,column_default
VoyCompanySubscriptions,stripe_payment_intent_id,text,YES,null
VoyCompanySubscriptions,stripe_subscription_id,text,YES,null
VoyCompanySubscriptions,metadata,jsonb,YES,'{}'::jsonb
VoyEmergencyAlertResponses,id,uuid,NO,uuid_generate_v4()
VoyEmergencyAlertResponses,alert_id,uuid,NO,null
VoyEmergencyAlertResponses,contact_id,uuid,YES,null
VoyEmergencyAlertResponses,responder_name,text,YES,null
VoyEmergencyAlertResponses,responder_phone,text,YES,null
VoyEmergencyAlertResponses,response_type,text,NO,null
VoyEmergencyAlertResponses,response_time,timestamp with time zone,YES,now()
VoyEmergencyAlertResponses,notes,text,YES,null
VoyEmergencyAlertResponses,location,text,YES,null
VoyEmergencyAlertResponses,latitude,numeric,YES,null
VoyEmergencyAlertResponses,longitude,numeric,YES,null
VoyEmergencyAlerts,id,uuid,NO,uuid_generate_v4()
VoyEmergencyAlerts,user_id,uuid,NO,null
VoyEmergencyAlerts,alert_type,text,NO,null
VoyEmergencyAlerts,location,text,YES,null
VoyEmergencyAlerts,latitude,numeric,YES,null
VoyEmergencyAlerts,longitude,numeric,YES,null
VoyEmergencyAlerts,status,text,NO,'ACTIVE'::text
VoyEmergencyAlerts,notes,text,YES,null
VoyEmergencyAlerts,created_at,timestamp with time zone,YES,now()
VoyEmergencyAlerts,resolved_at,timestamp with time zone,YES,null
VoyEmergencyAlerts,resolved_by,uuid,YES,null
VoyEmergencyContacts,id,uuid,NO,uuid_generate_v4()
VoyEmergencyContacts,user_id,uuid,NO,null
VoyEmergencyContacts,name,text,NO,null
VoyEmergencyContacts,phone,text,NO,null
VoyEmergencyContacts,relationship,text,YES,null
VoyEmergencyContacts,created_at,timestamp with time zone,YES,now()
VoyEmergencyContacts,updated_at,timestamp with time zone,YES,now()
VoyHelpers,id,uuid,NO,gen_random_uuid()
VoyHelpers,user_id,uuid,NO,null
VoyHelpers,bio,text,YES,null
VoyHelpers,skills,ARRAY,YES,null
VoyHelpers,min_hourly_rate,numeric,YES,null
VoyHelpers,max_distance_km,numeric,YES,null
VoyHelpers,rating_avg,numeric,YES,0
VoyHelpers,rating_count,integer,YES,0
VoyHelpers,created_at,timestamp with time zone,NO,now()
VoyHelpers,updated_at,timestamp with time zone,NO,now()
VoyInsurancePlans,id,uuid,NO,gen_random_uuid()
VoyInsurancePlans,policy_id,uuid,NO,null
VoyInsurancePlans,risk_level,smallint,NO,null
VoyInsurancePlans,name,text,NO,null
VoyInsurancePlans,price_per_job,numeric,NO,0
VoyInsurancePlans,price_per_hour,numeric,YES,null
VoyInsurancePlans,coverage_amount,numeric,YES,null
VoyInsurancePlans,deductible,numeric,YES,null
VoyInsurancePlans,coverage_summary,text,YES,null
VoyInsurancePlans,exclusions,jsonb,YES,'{}'::jsonb
VoyInsurancePlans,is_active,boolean,NO,true
VoyInsurancePlans,created_at,timestamp with time zone,NO,now()
VoyInsurancePlans,updated_at,timestamp with time zone,NO,now()
VoyInsurancePolicies,id,uuid,NO,gen_random_uuid()
VoyInsurancePolicies,provider_id,uuid,NO,null
VoyInsurancePolicies,policy_number,text,NO,null
VoyInsurancePolicies,status,text,NO,'ACTIVE'::text
VoyInsurancePolicies,start_date,date,NO,null
VoyInsurancePolicies,end_date,date,NO,null
VoyInsurancePolicies,territory,text,YES,'España'::text
VoyInsurancePolicies,claims_instructions,text,YES,null
VoyInsurancePolicies,policy_document_url,text,YES,null
VoyInsurancePolicies,metadata,jsonb,YES,'{}'::jsonb
VoyInsurancePolicies,created_at,timestamp with time zone,NO,now()
VoyInsurancePolicies,updated_at,timestamp with time zone,NO,now()
VoyInsuranceProviders,id,uuid,NO,gen_random_uuid()
VoyInsuranceProviders,name,text,NO,null
VoyInsuranceProviders,legal_name,text,YES,null
VoyInsuranceProviders,cif,text,YES,null
VoyInsuranceProviders,website,text,YES,null
VoyInsuranceProviders,claims_phone,text,YES,null
VoyInsuranceProviders,claims_email,text,YES,null
VoyInsuranceProviders,admin_contact_name,text,YES,null
VoyInsuranceProviders,admin_contact_phone,text,YES,null
VoyInsuranceProviders,admin_contact_email,text,YES,null
VoyInsuranceProviders,broker_name,text,YES,null
VoyInsuranceProviders,broker_phone,text,YES,null
VoyInsuranceProviders,broker_email,text,YES,null
VoyInsuranceProviders,notes,text,YES,null
VoyInsuranceProviders,documents_url,text,YES,null
